Data/Insertion/Dump/insertion-2144895.cpp,66%,Data/Insertion/Dump/insertion-1799419.cpp,66%
Data/Insertion/Dump/insertion-1732088.cpp,50%,Data/Insertion/Dump/insertion-1973405.cpp,48%
Data/Bubble/Dump/bubble-1583262.cpp,43%,Data/Insertion/Dump/insertion-1583249.cpp,13%
Data/Bubble/Dump/bubble-1673563.cpp,44%,Data/Insertion/Dump/insertion-1673554.cpp,51%
Data/Bubble/Dump/bubble-1571428.cpp,53%,Data/Bubble/Dump/bubble-2891330.cpp,49%
Data/Insertion/Dump/insertion-1732088.cpp,48%,Data/Insertion/Dump/insertion-2336015.cpp,59%
Data/Insertion/Dump/insertion-916961.cpp,59%,Data/Insertion/Dump/insertion-2780895.cpp,58%
Data/Insertion/Dump/insertion-1831723.cpp,41%,Data/Insertion/Dump/insertion-3436121.cpp,53%
Data/Bubble/Dump/bubble-2781728.cpp,51%,Data/Bubble/Dump/bubble-2705981.cpp,48%
Data/Insertion/Dump/insertion-878332.cpp,35%,Data/Insertion/Dump/insertion-1973405.cpp,43%
Data/Insertion/Dump/insertion-1831723.cpp,40%,Data/Insertion/Dump/insertion-1973405.cpp,43%
Data/Bubble/Dump/bubble-1749345.cpp,48%,Data/Bubble/Dump/bubble-1951910.cpp,53%
Data/Bubble/Dump/bubble-879889.cpp,42%,Data/Insertion/Dump/insertion-878332.cpp,35%
Data/Insertion/Dump/insertion-2925331.cpp,48%,Data/Insertion/Dump/insertion-1973405.cpp,40%
Data/Bubble/Dump/bubble-2705981.cpp,42%,Data/Bubble/Dump/bubble-873814.cpp,42%
Data/Bubble/Dump/bubble-2925584.cpp,50%,Data/Bubble/Dump/bubble-2781728.cpp,44%
Data/Bubble/Dump/bubble-2398015.cpp,51%,Data/Bubble/Dump/bubble-1806828.cpp,45%
Data/Insertion/Dump/insertion-4562452.cpp,38%,Data/Insertion/Dump/insertion-2705852.cpp,40%
Data/Bubble/Dump/bubble-2705981.cpp,41%,Data/Bubble/Dump/bubble-2267306.cpp,49%
Data/Bubble/Dump/bubble-1806828.cpp,44%,Data/Insertion/Dump/insertion-1799419.cpp,41%
Data/Bubble/Dump/bubble-1583262.cpp,33%,Data/Bubble/Dump/bubble-2497341.cpp,50%
Data/Insertion/Dump/insertion-771410.cpp,37%,Data/Insertion/Dump/insertion-1973405.cpp,37%
Data/Insertion/Dump/insertion-2144895.cpp,40%,Data/Insertion/Dump/insertion-1685439.cpp,45%
Data/Bubble/Dump/bubble-2497341.cpp,49%,Data/Bubble/Dump/bubble-1806828.cpp,43%
